ClaimID,ClaimantLocation,EventLocation,EventDate,ClaimantLatitude,ClaimantLongitude,EventLatitude,EventLongitude
"A1.1-0000000001","вул. Єлисейські поля, 229, м. Дублін, Ірландія","вул. Луганська, 759, м. Луцьк, Волинська область","21.08.2022-31.08.2022","53.3855163","-6.2589563","50.7558816","25.3469633"
"A3.1-0000000002","вул. Єлисейські поля, 239, м. Барселона, Іспанія","вул. Васильківська, 204, м. Одеса, Одеська область","16.03.2025-23.03.2025","41.3825802","2.1770730","46.4771004","30.7320241"
"A2.1-0000000003","вул. Кільцева дорога, 826, м. Київ, Київська область","вул. Паркова, 285, м. Новоград-Волинський, Житомирська область","14.01.2024","50.3917398","30.3821700","50.8099382","27.3052541"
"A1.1-0000000004","вул. Діагональ, 868, м. Відень, Австрія","вул. Грушевського, 748, м. Коломия, Івано-Франківська область","06.11.2022","48.2083537","16.3725042","48.5477486","25.0647659"
"A3.1-0000000005","вул. Корсо, 634, м. Гамбург, Німеччина","м. Бахмут, Донецька область","16.07.2022","53.5503410","10.0006540","48.5927395","37.9688314"
"A1.1-0000000006","м. Полтава, Полтавська область","м. Кривий Ріг, Дніпропетровська область","09.09.2024","49.5860289","34.5565726","48.0273124","33.5009995"
"A2.2-0000000007","вул. Армійська, 960, м. Мукачево, Закарпатська область","вул. Антоновича, 651, м. Ужгород, Закарпатська область","10.07.2023","48.2953664","23.4466092","48.6504584","22.2657980"
"A2.1-0000000008","вул. Луганська, 333, м. Нікополь, Дніпропетровська область","м. Чернігів, Чернігівська область","30.04.2022","47.6530517","34.6417462","51.5063797","31.3373728"
"A2.2-0000000009","вул. Кільцева, 672, м. Ніжин, Чернігівська область","вул. Пушкіна, 272, м. Золотоноша, Черкаська область","18.04.2025","51.0464747","31.8806289","49.6473285","32.0569802"
"A2.2-0000000010","вул. Молодіжна, 225, м. Вараш, Рівненська область","Чернівецька область","29.08.2022","51.3481736","25.8500623","48.3810791","26.1081673"
"A1.1-0000000011","вул. Луганська, 433, м. Житомир, Житомирська область","вул. Спортивна, 611, м. Токмак, Запорізька область","11.02.2025-16.02.2025","49.8924752","28.5082952","47.1908720","36.2197282"
"A1.1-0000000012","вул. Кільцева дорога, 274, м. Охтирка, Сумська область","м. Словʼянськ, Донецька область","02.08.2024","50.2878985","34.8624078","48.8586421","37.5963609"
"A2.1-0000000013","Івано-Франківська область","Донецька область","29.09.2022","48.7481718","24.5207477","47.9212914","37.7809825"
"A2.2-0000000014","вул. Пушкіна, 383, м. Бориспіль, Київська область","м. Сарни, Рівненська область","14.02.2025-15.02.2025","50.3426900","30.9791800","51.3193355","26.6293164"
"A2.2-0000000015","вул. Центральна, 246, м. Бахмут, Донецька область","вул. Лесі Українки, 750, м. Полтава, Полтавська область","15.07.2022","48.5819059","37.9788169","49.5682041","34.5434698"
"A2.1-0000000016","вул. Дружби, 541, м. Херсон, Херсонська область","м. Новоград-Волинський, Житомирська область","04.03.2025-17.03.2025","46.6875814","32.5470503","50.5917622","27.6066973"
"A2.1-0000000017","вул. Полтавська, 922, м. Боярка, Київська область","вул. Козацька, 231, м. Тернопіль, Тернопільська область","08.04.2022","50.3356709","30.2847595","49.5074997","25.6121596"
"A2.1-0000000018","вул. Гетьмана, 70, м. Чернігів, Чернігівська область","Луганська область","26.06.2023","51.4990467","31.3123899","49.2724587","38.9150477"
"A2.2-0000000019","вул. Морська, 958, м. Хмельницький, Хмельницька область","м. Нова Каховка, Херсонська область","19.10.2024","49.2661757","27.2627035","46.7583404","33.3566678"
"A3.1-0000000020","вул. Весняна, 434, м. Стрий, Львівська область","вул. Луганська, 670, м. Вінниця, Вінницька область","13.09.2022-14.09.2022","48.7816155","23.2506748","49.2336602","28.4750960"
"A3.1-0000000021","м. Луцьк, Волинська область","вул. Володимирська, 460, м. Біла Церква, Київська область","06.03.2023","50.7558816","25.3469633","49.7558721","30.0905349"
"A2.2-0000000022","м. Ужгород, Закарпатська область","вул. Шевченка, 668, м. Кривий Ріг, Дніпропетровська область","26.03.2022-28.03.2022","48.6504584","22.2657980","47.8654070","33.5072301"
"A2.1-0000000023","вул. Лугова, 925, м. Кременчук, Полтавська область","вул. Хрещатик, 400, м. Обухів, Київська область","12.09.2024","49.0876814","33.3967771","50.1101633","30.6269696"
"A2.2-0000000024","Харківська область","вул. Кільцева, 992, м. Умань, Черкаська область","10.03.2025","49.8299582","36.3788957","49.1121878","29.8350491"
"A1.1-0000000025","вул. Данила Галицького, 942, м. Покровськ, Донецька область","м. Житомир, Житомирська область","30.12.2024","48.2771086","37.1772482","50.3448700","28.6903887"
"A1.1-0000000026","вул. Луганська, 883, м. Івано-Франківськ, Івано-Франківська область","вул. Таращанська, 253, м. Тернопіль, Тернопільська область","16.05.2022","48.8154956","24.8447453","49.6072645","25.4082094"
"A1.1-0000000027","вул. Залізнична, 958, м. Березне, Рівненська область","вул. Козацька, 272, м. Ніжин, Чернігівська область","31.10.2023","51.0035653","26.7524487","51.0440457","31.8710626"
"A3.1-0000000028","м. Ужгород, Закарпатська область #1","вул. Бандери, 551, м. Кривий Ріг, Дніпропетровська область","21.08.2023","48.5830479","22.3332257","47.9066865","33.4032256"
"A2.1-0000000029","м. Бровари, Київська область","вул. Полтавська, 854, м. Житомир, Житомирська область","05.11.2023","50.5175991","30.8080173","50.6304942","28.9727319"
"A1.1-0000000030","вул. Перемоги, 271, м. Луцьк, Волинська область","вул. Доробок, 567, м. Луцьк, Волинська область","24.09.2023","50.6926011","25.2969787","50.7558816","25.3469633"
"A2.1-0000000031","вул. Данила Галицького, 501, м. Коломия, Івано-Франківська область","вул. Лесі Українки, 650, м. Вінниця, Вінницька область","13.09.2023","48.5477486","25.0647659","49.2411115","28.4502704"
"A1.1-0000000032","вул. Корсо, 269, м. Осло, Норвегія","вул. Васильківська, 723, м. Калуш, Івано-Франківська область","15.03.2022","59.9133301","10.7389701","49.0271830","24.3613567"
"A1.1-0000000033","вул. Карл-Йоханс-Гате, 37, м. Прага, Чехія","м. Рівне, Рівненська область","20.05.2022","50.0874654","14.4212535","50.6159850","26.3129363"
"A2.2-0000000034","Запорізька область","м. Камʼянець-Подільський, Хмельницька область","22.09.2022","47.4165079","35.9229690","48.7254509","26.5785004"
